"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"pob_activa";"resto_poblacion";"ed_superior_porcentaje"
"256";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2019;56119;354499;0,158305101001695
"257";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2020;57383;368342;0,155787284643076
"258";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2021;56678;377034;0,150325965297559
"259";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2022;55137;382746;0,144056371588469
"260";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2023;53705;387506;0,138591402455704
"261";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2024;52771;391505;0,13479010485179
"262";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2025;52325;394899;0,132502234748632
"263";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2026;52293;397777;0,131463106212778
"264";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2027;52488;400332;0,13111117772249
"265";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2028;52765;402698;0,131028711341998
"266";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2029;53047;404955;0,130994801891568
"267";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2030;53384;407053;0,131147540983607
"268";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2031;53634;409294;0,131040279114768
"269";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2032;53692;411517;0,130473346180109
"270";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2033;53230;414165;0,128523656030809
"271";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2034;52044;417425;0,124678684793676
"272";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2035;50738;420693;0,120605762396807
"273";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2002;1093;7307;0,149582592035035
"274";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2003;1121;7561;0,148260812061897
"275";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2004;1156;7809;0,14803431937508
"276";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2005;1196;8050;0,148571428571429
"277";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2006;1241;8288;0,149734555984556
"278";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2007;1287;8531;0,150861563708827
"279";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2008;1337;8779;0,152295250028477
"280";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2009;1385;9026;0,153445601595391
"281";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2010;1434;9272;0,154659188955997
"282";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2011;1483;9525;0,155695538057743
"283";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2012;1526;9780;0,156032719836401
"284";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2013;1560;10059;0,155084998508798
"285";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2014;1591;10359;0,153586253499373
"286";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2015;1607;10660;0,150750469043152
"287";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2016;1622;10964;0,147938708500547
"288";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2017;1643;11290;0,145527015057573
"289";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2018;1711;11799;0,145012289177049
"290";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2019;1775;12368;0,14351552393273
"291";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2020;1831;12945;0,141444573194283
"292";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2021;1823;13345;0,136605470213563
"293";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2022;1789;13641;0,131148742760795
"294";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2023;1755;13904;0,126222669735328
"295";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2024;1734;14143;0,122604822173513
"296";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2025;1731;14356;0,12057676232934
"297";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2026;1742;14549;0,119733315004468
"298";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2027;1760;14727;0,119508385957765
"299";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2028;1780;14896;0,119495166487648
"300";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2029;1799;15061;0,119447579841976
"301";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2030;1820;15216;0,119610935856993
"302";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2031;1843;15367;0,119932322509273
"303";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2032;1859;15516;0,119811807166796
"304";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2033;1853;15679;0,118183557624849
"305";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2034;1819;15863;0,114669356363866
"306";2;"Antofagasta";21;"Antofagasta";2102;"Mejillones";2035;1782;16042;0,111083406059095
"307";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2002;163;1139;0,143107989464443
"308";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2003;164;1155;0,141991341991342
"309";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2004;164;1173;0,139812446717818
"310";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2005;166;1189;0,139613120269134
"311";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2006;166;1205;0,137759336099585
"312";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2007;169;1219;0,138638228055783
"313";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2008;173;1233;0,140308191403082
"314";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2009;176;1247;0,141138732959102
"315";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2010;176;1265;0,139130434782609
"316";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2011;178;1282;0,138845553822153
"317";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2012;179;1299;0,13779830638953
"318";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2013;180;1317;0,136674259681093
"319";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2014;180;1339;0,134428678117998
"320";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2015;178;1361;0,13078618662748
"321";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2016;179;1380;0,129710144927536
"322";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2017;177;1405;0,125978647686833
"323";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2018;179;1454;0,123108665749656
"324";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2019;187;1503;0,124417831004657
"325";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2020;189;1557;0,121387283236994
"326";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2021;187;1585;0,117981072555205
"327";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2022;182;1602;0,113607990012484
"328";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2023;174;1618;0,107540173053152
"329";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2024;170;1630;0,104294478527607
"330";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2025;170;1636;0,103911980440098
"331";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2026;168;1645;0,102127659574468
"332";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2027;169;1649;0,102486355366889
"333";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2028;169;1654;0,10217654171705
"334";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2029;168;1660;0,101204819277108
"335";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2030;169;1663;0,101623571858088
"336";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2031;169;1667;0,101379724055189
"337";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2032;169;1671;0,101137043686415
"338";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2033;170;1673;0,101613867304244
"339";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2034;166;1678;0,098927294398093
"340";2;"Antofagasta";21;"Antofagasta";2103;"Sierra Gorda";2035;161;1684;0,0956057007125891
"341";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2002;1242;9469;0,131164853733235
"342";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2003;1236;9612;0,128589263420724
"343";2;"Antofagasta";21;"Antofagasta";2104;"Taltal";2004;1241;9742;0,12738657359885
